Bd1	敵艦隊を撃破せよ！	艦隊を出撃させ、敵艦隊を捕捉、これを撃滅せよ！※どこでも1回勝利で達成
Bd2	敵艦隊主力を撃滅せよ！	艦隊を出撃させ、敵艦隊「主力」を捕捉！これを撃滅せよ！※戦闘(敗北でも可)を1回することで任務達成
Bd3	敵艦隊を10回邀撃せよ！	艦隊全力出撃！遊弋する敵艦隊を10回邀撃せよ！※戦闘10回で達成。全て敗北でもよい
Bd5	敵補給艦を3隻撃沈せよ！	艦隊を出撃させ、敵補給艦を捕捉、これを撃滅せよ！※輸送船と補給艦は同じ扱い(※輸送船の出現海域)
Bd7	南西諸島海域の制海権を握れ！	艦隊を南西諸島海域に全力出撃させ、多数の敵艦隊「主力」群を捕捉、撃滅せよ！※編成自由の艦隊とし・(2-1) 南西諸島近海・(2-2) バシー海峡・(2-3) 東部オリョール海・(2-4) 沖ノ島海域・(2-5) 沖ノ島沖より任意のボス戦の組み合わせで5回B勝利以上で達成※任務進捗変化50%(3/5)→80%(4/5)→達成(5/5)(※鎮守府海域の「南西諸島沖(1-2)」「南西諸島防衛線(1-4)」は含まれない)
Bd8	敵潜水艦を制圧せよ！	対潜能力の充実した艦隊で出撃、敵潜水艦狩りを実施せよ！※潜水艦6隻撃沈で達成
Bd4	敵空母を3隻撃沈せよ！	艦隊の脅威となる敵空母群。これを捕捉撃滅し、3隻轟沈せよ！※敵の(空母/軽空母)を3隻撃沈で達成
Bd6	敵輸送船団を叩け！	敵の輸送船5隻以上を撃沈し、敵の補給路を寸断せよ！※輸送船と補給艦は同じ扱い(※輸送船の出現海域)
Bw1	あ号作戦	1週間の全力出撃を行い、可能な限り多くの敵艦隊を捕捉、これを迎撃せよ！※以下の全条件を満たすことで達成*8・出撃36回・S勝利 6回・ボス到達 24回・ボス戦勝利 12回※進行度の算出方法が特殊
Bw2	い号作戦	有力な母艦航空隊で1週間の全力出撃を行い、可能な限り多くの敵空母を撃滅せよ！※敵の(空母/軽空母)を20隻撃沈で達成
Bw3	海上通商破壊作戦	1週間で敵輸送船を20隻以上撃沈せよ！※輸送船20隻撃沈で達成(※輸送船の出現海域)
Bw4	ろ号作戦	1週間の全力出撃を行い、敵輸送船団を捕捉・撃滅、敵の補給路を寸断せよ！※輸送船50隻撃沈で達成(※輸送船の出現海域)
Bw5	海上護衛戦	有力な対潜能力を持つ海上護衛隊によって、可能な限り多くの敵潜水艦を撃滅せよ！※潜水艦15隻撃沈で達成
Bw6	敵東方艦隊を撃滅せよ！	西方海域に出撃し、敵東方艦隊の主力を捕捉、これを撃滅せよ！※編成自由の艦隊とし・(4-1) ジャム島沖・(4-2) カレー洋海域・(4-3) リランカ島・(4-4) カスガダマ島・(4-5) カレー洋リランカ島沖より任意のボス戦の組み合わせで12回B勝利以上で達成※任務進捗変化50%(6/12)→80%(10/12)→達成(12/12)
Bw7	敵北方艦隊主力を撃滅せよ！	北方海域の深部に出撃し、敵北方艦隊の主力艦隊を捕捉、これを撃滅せよ！※編成自由の艦隊とし・(3-3) アルフォンシーノ方面・(3-4) 北方海域全域・(3-5) 北方AL海域より任意のボス戦の組み合わせで5回B勝利以上で達成
Bw8	敵東方中枢艦隊を撃破せよ！	西方海域カスガダマ島沖に出撃し、敵東方中枢艦隊を捕捉、これを撃破せよ！※編成自由の艦隊とし・(4-4) カスガダマ島ボス戦を1回B勝利以上で達成
Bw9	南方海域珊瑚諸島沖の制空権を握れ！	南方海域珊瑚諸島沖に出撃し、敵機動部隊本体を撃滅、これに完全勝利せよ！※編成自由の艦隊とし・(5-2) 珊瑚諸島沖ボス戦を2回S勝利で達成
Bw10	海上輸送路の安全確保に努めよ！	鎮守府正面の対潜哨戒を反復実施し、安全な海上輸送路を確保せよ！※編成自由の艦隊とし・(1-5) 鎮守府近海ボス戦を3回A勝利以上で達成
Bm1	「第五戦隊」出撃せよ！	「第五戦隊」は沖ノ島沖の戦闘哨戒を実施、敵艦隊主力を捕捉、これを撃滅せよ！※「第五戦隊」(「妙高」+「那智」+「羽黒」)3隻+自由枠3隻とし・(2-5) 沖ノ島沖ボス戦を1回S勝利で達成
Bm2	「潜水艦隊」出撃せよ！	潜水艦戦力を中核とした艦隊で中部海域哨戒線へ反復出撃、敵戦力を漸滅せよ！※編成自由の艦隊とし・(6-1) 中部海域哨戒線ボス戦を3回S勝利で達成
Bm3	「水雷戦隊」南西へ！	軽巡旗艦の水雷戦隊(軽巡最大3隻他駆逐艦)を急派、南西諸島防衛線で敵を撃滅せよ！※旗艦軽巡+軽巡0～2隻＋駆逐3～5隻からなる(軽巡/駆逐)のみの編成とし・(1-4) 南西諸島防衛線ボス戦を1回S勝利で達成
Bm4	「水上打撃部隊」南方へ！	戦艦3隻軽巡1隻他を基幹とした水上打撃部隊で南方海域へ進出、敵艦隊を撃滅せよ！※(「大和型」「長門型」「伊勢型」「扶桑型」)より3隻+軽巡1隻+自由枠2隻とし・(5-1) 南方海域前面ボス戦を1回S勝利で達成※金剛型、海外戦艦は自由枠扱いになり任務の対象外
Bm5	海上護衛強化月間	鎮守府正面海域の対潜哨戒を強化し、敵潜水艦を制圧、安全な海上輸送体制を確立せよ！※編成自由の艦隊とし・(1-5) 鎮守府近海ボス戦を10回A勝利以上で達成
Bm6	「空母機動部隊」西へ！	航空母艦2隻(随伴駆逐艦2隻)を基幹とする空母機動部隊で、カレー洋の敵艦隊を撃滅せよ！※航空母艦2隻+駆逐2隻+自由枠2隻とし・(4-2) カレー洋海域ボス戦を1回S勝利で達成
Bm7	「水上反撃部隊」突入せよ！	駆逐艦を旗艦とした重巡1隻(航巡不可)軽巡1隻駆逐艦4隻からなる水上挺身部隊、沖ノ島沖に突入せよ！※旗艦「駆逐艦」+重巡1隻+軽巡1隻+駆逐3隻とし・(2-5) 沖ノ島沖ボス戦を1回S勝利で達成
Bm8	兵站線確保！海上警備を強化実施せよ！	海上警備任務：軽空母または軽巡級1隻、駆逐艦または海防艦を計3隻以上配備した海上護衛艦隊で、南西諸島沖警備、海上護衛作戦、南1号作戦、南西諸島哨戒を実施、各作戦海域の敵を撃滅せよ！※(軽空母/軽巡級)1隻+(駆逐/海防)3隻+自由枠2隻とし・(1-2) 南西諸島沖・(1-3) 製油所地帯沿岸・(1-4) 南西諸島防衛線・(2-1) 南西諸島近海ボス戦を各1回S勝利で達成
Bq1	沖ノ島海域迎撃戦	有力な艦隊を沖ノ島海域前面に反復投入、侵攻する敵機動部隊を迎撃、これを撃滅せよ！※編成自由の艦隊とし・(2-4) 沖ノ島海域ボス戦を2回S勝利で達成
Bq2	戦果拡張任務！「Z作戦」前段作戦	戦果拡張作戦:我が第一艦隊に精鋭艦艇を集中配備、同精鋭艦隊を以て、南西諸島の沖ノ島海域、中部海域哨戒線、グアノ環礁沖の敵艦隊を撃破、中部北海域ピーコック島の敵戦力を破砕殲滅せよ！※編成自由の第一艦隊とし・(2-4) 沖ノ島海域・(6-1) 中部海域哨戒線・(6-3) グアノ環礁沖海域ボス戦を各1回A勝利以上・(6-4) 中部北海域ピーコック島沖ボス戦を1回S勝利で達成
